node_element_id,id,name
ProcessLine|line:custodian:aihw,line:custodian:aihw,AIHW
ProcessLine|line:custodian:australian-bureau-of-statistics,line:custodian:australian-bureau-of-statistics,Australian Bureau of Statistics
ProcessLine|line:custodian:services-australia,line:custodian:services-australia,Services Australia
ProcessLine|line:custodian:department-of-health-and-aged-care,line:custodian:department-of-health-and-aged-care,Department of Health and Aged Care
ProcessLine|line:custodian:tga,line:custodian:tga,TGA
ProcessLine|line:custodian:apra,line:custodian:apra,APRA
ProcessLine|line:custodian:nsw-health-ministry-of-health-nsw,line:custodian:nsw-health-ministry-of-health-nsw,NSW Health — Ministry of Health NSW
ProcessLine|line:custodian:cherel,line:custodian:cherel,CHeReL
ProcessLine|line:custodian:cancer-institute-nsw,line:custodian:cancer-institute-nsw,Cancer Institute NSW
ProcessLine|line:custodian:vahi,line:custodian:vahi,VAHI
ProcessLine|line:custodian:victorian-cancer-registry,line:custodian:victorian-cancer-registry,Victorian Cancer Registry
ProcessLine|line:custodian:centre-for-victorian-data-linkage-cvdl,line:custodian:centre-for-victorian-data-linkage-cvdl,Centre for Victorian Data Linkage (CVDL)
ProcessLine|line:custodian:queensland-health,line:custodian:queensland-health,Queensland Health
ProcessLine|line:custodian:qcif,line:custodian:qcif,QCIF
ProcessLine|line:custodian:wa-health-data-linkage-services-wa,line:custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA
ProcessLine|line:custodian:sa-health-sa-nt-datalink,line:custodian:sa-health-sa-nt-datalink,SA Health / SA NT DataLink
ProcessLine|line:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,line:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,Tasmanian Department of Health / Tasmanian Data Linkage Unit (TDLU)
ProcessLine|line:custodian:act-health,line:custodian:act-health,ACT Health
ProcessLine|line:custodian:nt-health-nt-health-research-governance-office,line:custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office
ProcessLine|line:custodian:phrn,line:custodian:phrn,PHRN
ProcessLine|line:custodian:sure-secure-unified-research-environment,line:custodian:sure-secure-unified-research-environment,SURE — Secure Unified Research Environment
ProcessLine|line:custodian:abs-datalab,line:custodian:abs-datalab,ABS DataLab
ProcessLine|line:custodian:aihw-data-integration-services,line:custodian:aihw-data-integration-services,AIHW Data Integration Services
ProcessLine|line:custodian:adha,line:custodian:adha,ADHA
ProcessLine|line:custodian:phn-cooperative-primary-health-insights,line:custodian:phn-cooperative-primary-health-insights,PHN Cooperative / Primary Health Insights
ProcessLine|line:custodian:medicineinsight-nps-medicinewise,line:custodian:medicineinsight-nps-medicinewise,MedicineInsight (NPS MedicineWise)
ProcessLine|line:custodian:nhmrc-hrecs,line:custodian:nhmrc-hrecs,NHMRC / HRECs
ProcessLine|line:custodian:aiatsis,line:custodian:aiatsis,AIATSIS
ProcessLine|line:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,line:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs)
ProcessLine|line:custodian:acsqhc,line:custodian:acsqhc,ACSQHC
ProcessLine|line:custodian:ardc,line:custodian:ardc,ARDC
ProcessLine|line:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,line:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,Private Hospital Data Bureau (PHDB) via AIHW / Department of Health
